type;name;data;unit
ValueBox;01SHUTTER;1,4800000000000002;us
ValueBox;02SHUTTER;126,5;us
ValueBox;Measrate;0,0001;kHz

MeasSignale
Zeitstempel [ms];01DIST1 [mm];02DIST1 [mm];01DIST1_PEAK [mm];02DIST1_PEAK [mm];01INTENSITY1 [%];02INTENSITY1 [%]
2,6200;6,69129;2147483396,00000;0,05936;2147483396,00000;0,396;0,000
2,6300;6,69174;2147483396,00000;0,05954;2147483396,00000;0,396;0,000
2,6400;6,69216;2147483396,00000;0,05969;2147483396,00000;0,396;0,000
2,6500;6,69255;2147483396,00000;0,05976;2147483396,00000;0,395;0,000
2,6600;6,69294;2147483396,00000;0,05982;2147483396,00000;0,390;0,000
2,6700;6,69337;2147483396,00000;0,05993;2147483396,00000;0,389;0,000
2,6800;6,69393;2147483396,00000;0,06005;2147483396,00000;0,389;0,000
2,6900;6,69443;2147483396,00000;0,06010;2147483396,00000;0,395;0,000
2,7000;6,69492;2147483396,00000;0,06015;2147483396,00000;0,392;0,000
2,7100;6,69529;2147483396,00000;0,06008;2147483396,00000;0,392;0,000
2,7200;6,69566;2147483396,00000;0,06005;2147483396,00000;0,386;0,000
2,7300;6,69603;2147483396,00000;0,06004;2147483396,00000;0,386;0,000
2,7400;6,69659;2147483396,00000;0,06017;2147483396,00000;0,386;0,000
2,7500;6,69711;2147483396,00000;0,06018;2147483396,00000;0,389;0,000
2,7600;6,69761;2147483396,00000;0,06020;2147483396,00000;0,385;0,000
2,7700;6,69803;2147483396,00000;0,06016;2147483396,00000;0,386;0,000
2,7800;6,69840;2147483396,00000;0,06016;2147483396,00000;0,391;0,000
2,7900;6,69877;2147483396,00000;0,06018;2147483396,00000;0,391;0,000
2,8000;6,69934;2147483396,00000;0,06030;2147483396,00000;0,393;0,000
2,8100;6,69991;2147483396,00000;0,06035;2147483396,00000;0,390;0,000
2,8200;6,70047;2147483396,00000;0,06041;2147483396,00000;0,387;0,000
2,8300;6,70096;2147483396,00000;0,06038;2147483396,00000;0,390;0,000
2,8400;6,70129;2147483396,00000;0,06032;2147483396,00000;0,391;0,000
2,8500;6,70162;2147483396,00000;0,06028;2147483396,00000;0,395;0,000
2,8600;6,70201;2147483396,00000;0,06021;2147483396,00000;0,394;0,000
2,8700;6,70255;2147483396,00000;0,06016;2147483396,00000;0,395;0,000
2,8800;6,70309;2147483396,00000;0,06012;2147483396,00000;0,392;0,000
2,8900;6,70362;2147483396,00000;0,06007;2147483396,00000;0,394;0,000
2,9000;6,70396;2147483396,00000;0,05995;2147483396,00000;0,394;0,000
2,9100;6,70430;2147483396,00000;0,05989;2147483396,00000;0,396;0,000
2,9200;6,70464;2147483396,00000;0,05977;2147483396,00000;0,395;0,000
2,9300;6,70513;2147483396,00000;0,05967;2147483396,00000;0,395;0,000
2,9400;6,70562;2147483396,00000;0,05957;2147483396,00000;0,394;0,000
2,9500;6,70611;2147483396,00000;0,05947;2147483396,00000;0,395;0,000
